dataset_index,dataset_id,rollout,valid,error_type,step_count,mean_structural_to_others,mean_semantic_to_others,mean_combined_to_others,nearest_rollout,nearest_structural,nearest_semantic,nearest_combined,novelty_one_minus_nearest_combined
0,hle-673818e39b3842b34824240d,53,True,,3,0.6242915391921997,0.592749297618866,0.6085203289985657,25,1.0,0.8074730038642883,0.9037364721298218,0.09626352787017822
0,hle-673818e39b3842b34824240d,54,True,,3,0.630617082118988,0.4849288761615753,0.5577731132507324,12,1.0,0.6085569858551025,0.8042784929275513,0.19572150707244873
0,hle-673818e39b3842b34824240d,55,True,,3,0.630617082118988,0.48440608382225037,0.5575116872787476,14,1.0,0.649598240852356,0.824799120426178,0.17520087957382202
0,hle-673818e39b3842b34824240d,56,True,,3,0.6339689493179321,0.5082072615623474,0.5710881352424622,3,1.0,0.7439836859703064,0.8719918727874756,0.12800812721252441
0,hle-673818e39b3842b34824240d,57,True,,4,0.6870705485343933,0.5754488110542297,0.6312597990036011,37,0.925000011920929,0.7150930166244507,0.8200465440750122,0.1799534559249878
0,hle-673818e39b3842b34824240d,58,True,,5,0.5804136395454407,0.5083376169204712,0.5443756580352783,46,0.7599999904632568,0.7061841487884521,0.7330920696258545,0.2669079303741455
0,hle-673818e39b3842b34824240d,59,True,,4,0.6091673374176025,0.5988296866416931,0.603998601436615,36,0.8500000238418579,0.7452767491340637,0.7976384162902832,0.2023615837097168
0,hle-673818e39b3842b34824240d,60,True,,4,0.70255446434021,0.614776611328125,0.6586657166481018,10,1.0,0.7613763809204102,0.8806881904602051,0.11931180953979492
0,hle-673818e39b3842b34824240d,61,True,,4,0.7199738621711731,0.5586913824081421,0.63933265209198,13,1.0,0.7270157337188721,0.863507866859436,0.13649213314056396
0,hle-673818e39b3842b34824240d,62,True,,5,0.5309368968009949,0.5106919407844543,0.5208144783973694,51,0.8199999928474426,0.6792280673980713,0.7496140003204346,0.25038599967956543
0,hle-673818e39b3842b34824240d,63,True,,3,0.6339689493179321,0.5456516742706299,0.5898102521896362,3,1.0,0.7149204611778259,0.8574602603912354,0.14253973960876465
1,hle-6704465caf0a436d92c65160,0,True,,1,0.32555779814720154,0.3848322331905365,0.3551950752735138,49,1.0,0.9104791879653931,0.9552395939826965,0.04476040601730347
1,hle-6704465caf0a436d92c65160,1,True,,3,0.5336293578147888,0.6157068610191345,0.5746680498123169,14,0.8999999761581421,0.8665410876274109,0.8832705020904541,0.1167294979095459
1,hle-6704465caf0a436d92c65160,2,True,,3,0.5475637912750244,0.6185802221298218,0.5830719470977783,21,1.0,0.8697785139083862,0.9348892569541931,0.06511074304580688
1,hle-6704465caf0a436d92c65160,3,True,,4,0.4662795960903168,0.6347985863685608,0.550538957118988,52,1.0,0.8731086254119873,0.9365543127059937,0.06344568729400635
1,hle-6704465caf0a436d92c65160,4,True,,3,0.5475637912750244,0.6353540420532227,0.5914587378501892,14,1.0,0.9018883109092712,0.950944185256958,0.04905581474304199
1,hle-6704465caf0a436d92c65160,5,True,,4,0.5679929256439209,0.6276044249534607,0.5977987051010132,57,1.0,0.8745085597038269,0.9372543096542358,0.06274569034576416
1,hle-6704465caf0a436d92c65160,6,True,,1,0.3255578279495239,0.3568737208843231,0.3412157893180847,35,1.0,0.8667315244674683,0.9333657622337341,0.06663423776626587
1,hle-6704465caf0a436d92c65160,7,True,,1,0.22678732872009277,0.3973727226257324,0.3120800256729126,50,1.0,0.8546613454818726,0.9273306727409363,0.07266932725906372
1,hle-6704465caf0a436d92c65160,8,True,,1,0.3255578279495239,0.38220781087875366,0.353882759809494,49,1.0,0.9252889156341553,0.9626444578170776,0.03735554218292236
1,hle-6704465caf0a436d92c65160,9,True,,4,0.4806978702545166,0.6015200614929199,0.5411089062690735,38,1.0,0.756782054901123,0.8783910274505615,0.12160897254943848
1,hle-6704465caf0a436d92c65160,10,True,,4,0.5040585398674011,0.6417990326881409,0.572928786277771,34,0.8500000238418579,0.8667169809341431,0.8583585023880005,0.1416414976119995
1,hle-6704465caf0a436d92c65160,11,True,,3,0.539367139339447,0.6318451762199402,0.585606038570404,51,1.0,0.8727859854698181,0.9363930225372314,0.06360697746276855
1,hle-6704465caf0a436d92c65160,12,True,,3,0.4758423864841461,0.6100099682807922,0.5429263114929199,14,0.8999999761581421,0.8562064170837402,0.8781031966209412,0.12189680337905884
1,hle-6704465caf0a436d92c65160,13,True,,4,0.5483208298683167,0.6249012351036072,0.5866109728813171,47,0.925000011920929,0.8244611024856567,0.8747305870056152,0.12526941299438477
1,hle-6704465caf0a436d92c65160,14,True,,3,0.5475637912750244,0.6445019245147705,0.5960327982902527,4,1.0,0.9018883109092712,0.950944185256958,0.04905581474304199
1,hle-6704465caf0a436d92c65160,15,True,,1,0.3255578279495239,0.3786170780658722,0.35208749771118164,45,1.0,0.9050507545471191,0.9525253772735596,0.04747462272644043
1,hle-6704465caf0a436d92c65160,16,True,,4,0.5544683337211609,0.6284850239753723,0.5914766788482666,42,0.925000011920929,0.8671993613243103,0.8960996866226196,0.10390031337738037
1,hle-6704465caf0a436d92c65160,17,True,,3,0.4627276659011841,0.6018160581588745,0.5322719216346741,27,0.800000011920929,0.8376684784889221,0.8188342452049255,0.18116575479507446
1,hle-6704465caf0a436d92c65160,18,True,,4,0.5692223906517029,0.6295979022979736,0.5994101762771606,62,1.0,0.8370975852012634,0.9185488224029541,0.0814511775970459
1,hle-6704465caf0a436d92c65160,19,True,,3,0.5397768616676331,0.6209989190101624,0.5803879499435425,24,0.8999999761581421,0.873040497303009,0.886520266532898,0.11347973346710205
1,hle-6704465caf0a436d92c65160,20,True,,1,0.32555779814720154,0.3705836534500122,0.34807074069976807,28,1.0,0.8931383490562439,0.9465692043304443,0.053430795669555664
1,hle-6704465caf0a436d92c65160,21,True,,3,0.5475637912750244,0.6328650116920471,0.5902143120765686,4,1.0,0.8758150339126587,0.9379075169563293,0.062092483043670654
1,hle-6704465caf0a436d92c65160,22,True,,1,0.32555779814720154,0.3876604437828064,0.35660913586616516,45,1.0,0.9201078414916992,0.9600539207458496,0.03994607925415039
1,hle-6704465caf0a436d92c65160,23,True,,1,0.32555779814720154,0.3781864047050476,0.3518720865249634,22,1.0,0.890402615070343,0.9452012777328491,0.05479872226715088
1,hle-6704465caf0a436d92c65160,24,True,,3,0.5377276539802551,0.6384366154670715,0.5880821347236633,48,1.0,0.8861483931541443,0.9430742263793945,0.05692577362060547
1,hle-6704465caf0a436d92c65160,25,True,,4,0.5421732664108276,0.6237229108810425,0.5829480886459351,56,1.0,0.7725149393081665,0.8862574696540833,0.11374253034591675
1,hle-6704465caf0a436d92c65160,26,False,ConductorParseError,,,,,,,,,
1,hle-6704465caf0a436d92c65160,27,True,,3,0.5356785655021667,0.6399897336959839,0.5878341794013977,53,1.0,0.8979716300964355,0.9489858150482178,0.05101418495178223
1,hle-6704465caf0a436d92c65160,28,True,,1,0.32555779814720154,0.3832307457923889,0.3543942868709564,45,1.0,0.907346248626709,0.9536731243133545,0.04632687568664551
1,hle-6704465caf0a436d92c65160,29,True,,4,0.5679929256439209,0.6342183351516724,0.6011056303977966,46,1.0,0.8862953186035156,0.9431476593017578,0.05685234069824219
1,hle-6704465caf0a436d92c65160,30,True,,4,0.4880748987197876,0.6002935767173767,0.5441843271255493,61,0.8500000238418579,0.8198983073234558,0.8349491357803345,0.16505086421966553
